345 1660161017 0,000000 0,000000 -101,000000 0,000000 0,000000
345 1660161018 0,000000 0,000000 -101,000000 0,000000 0,000000
345 1660161019 0,000000 0,000000 -101,000000 0,000000 0,000000
345 1660161020 0,000000 0,000000 -101,000000 0,000000 0,000000
345 1660161021 2,000000 0,200000 0,400000 0,400000 -20,200000
345 1660161022 2,000000 0,200000 0,800000 0,800000 -20,200000
345 1660161023 2,000000 0,200000 1,200000 1,200000 -20,200000
345 1660161024 2,000000 0,200000 1,600000 1,600000 -20,200000
345 1660161025 2,000000 0,200000 2,000000 2,000000 -20,200000
345 1660161026 1,333333 0,600000 2,800000 2,800000 -20,200000
345 1660161027 1,333333 0,600000 3,600000 3,600000 -20,200000
345 1660161028 1,333333 0,600000 4,400000 4,400000 -20,200000
345 1660161029 1,333333 0,600000 5,200000 5,200000 -20,200000
345 1660161030 1,333333 0,600000 6,000000 6,000000 -20,200000
345 1660161031 0,000000 0,800000 6,000000 6,000000 -20,200000
345 1660161032 0,000000 0,800000 6,000000 6,000000 -20,200000
345 1660161033 0,000000 0,800000 6,000000 6,000000 -20,200000
345 1660161034 0,000000 0,800000 6,000000 6,000000 -20,200000
345 1660161035 0,000000 0,800000 6,000000 6,000000 -20,200000
345 1660161036 0,125000 1,600000 6,200000 6,200000 -20,200000
345 1660161037 0,125000 1,600000 6,400000 6,400000 -20,200000
345 1660161038 0,125000 1,600000 6,600000 6,600000 -20,200000
345 1660161039 0,125000 1,600000 6,800000 6,800000 -20,200000
345 1660161040 0,125000 1,600000 7,000000 7,000000 -20,200000
345 1660161041 0,000000 1,600000 7,000000 7,000000 -20,200000
345 1660161042 0,000000 1,600000 7,000000 7,000000 -20,200000
345 1660161043 0,000000 1,600000 7,000000 7,000000 -20,200000
345 1660161044 0,000000 1,600000 7,000000 7,000000 -20,200000
345 1660161045 0,000000 1,600000 7,000000 7,000000 -20,200000
345 1660161046 0,000000 2,000000 7,000000 7,000000 -20,200000
345 1660161047 0,000000 2,000000 7,000000 7,000000 -20,200000
345 1660161048 0,000000 2,000000 7,000000 7,000000 -20,200000
345 1660161049 0,000000 2,000000 7,000000 7,000000 -20,200000
345 1660161050 0,000000 2,000000 7,000000 7,000000 -20,200000
345 1660161051 -0,166667 2,400000 6,600000 6,600000 -20,200000
345 1660161052 -0,166667 2,400000 6,200000 6,200000 -20,200000
345 1660161053 -0,166667 2,400000 5,800000 5,800000 -20,200000
345 1660161054 -0,166667 2,400000 5,400000 5,400000 -20,200000
345 1660161055 -0,166667 2,400000 5,000000 5,000000 -20,200000
345 1660161056 0,153846 2,600000 5,400000 5,400000 -20,200000
345 1660161057 0,153846 2,600000 5,800000 5,800000 -20,200000
345 1660161058 0,153846 2,600000 6,200000 6,200000 -20,200000
345 1660161059 0,153846 2,600000 6,600000 6,600000 -20,200000
345 1660161060 0,153846 2,600000 7,000000 7,000000 -20,200000
345 1660161061 0,000000 3,000000 7,000000 7,000000 -20,200000
